Begin Up, End Up
121.178, 121.217
121.238, 121.278
121.302, 121.341
121.364, 121.405
121.426, 121.459
121.478, 121.511
121.541, 121.573
121.593, 121.626
121.645, 121.677
121.696, 121.729
121.751, 121.784
121.807, 121.84
121.861, 121.893
121.918, 121.95
121.969, 122.002
122.022, 122.049
122.126, 122.144
122.176, 122.209
122.229, 122.261
122.283, 122.316
122.335, 122.367
125.165, 125.204
125.229, 125.268
125.29, 125.329
125.353, 125.392
125.421, 125.46
125.485, 125.524
125.546, 125.585
125.605, 125.643
125.666, 125.716
125.737, 125.777
125.798, 125.837
125.86, 125.899
125.921, 125.959
125.98, 126.018
126.04, 126.079
126.1, 126.139
126.159, 126.198
126.22, 126.258
126.279, 126.319
126.352, 126.392
126.412, 126.447
126.467, 126.498
126.52, 126.551
126.569, 126.6
126.619, 126.659
126.681, 126.712
126.732, 126.763
126.782, 126.813
126.834, 126.865
126.885, 126.922
129.654, 129.699
129.725, 129.759
129.78, 129.813
129.834, 129.867
129.889, 129.921
129.942, 129.974
129.995, 130.038
130.061, 130.093
130.116, 130.136
130.172, 130.203
130.225, 130.257
130.277, 130.309
130.331, 130.362
130.382, 130.413
130.432, 130.464
130.492, 130.524
130.543, 130.575
130.594, 130.625
130.646, 130.677
130.697, 130.728
130.747, 130.778
130.799, 130.83
130.85, 130.881
130.906, 130.935
130.992, 131.032
131.067, 131.099
131.134, 131.166
131.187, 131.226
131.245, 131.287
131.312, 131.344
131.367, 131.399
131.418, 131.45
134.172, 134.213
134.235, 134.268
134.289, 134.321
134.345, 134.377
134.405, 134.445
134.477, 134.516
134.541, 134.579
134.6, 134.64
134.668, 134.707
134.73, 134.767
134.792, 134.83
134.851, 134.889
134.911, 134.949
134.969, 135.007
135.026, 135.065
135.086, 135.123
135.145, 135.182
135.206, 135.244
135.263, 135.302
135.321, 135.368
135.39, 135.428
135.448, 135.48
135.498, 135.529
135.552, 135.582
135.602, 135.642
135.661, 135.693
135.714, 135.745
135.765, 135.795
135.815, 135.846
135.867, 135.9
135.925, 135.956
138.735, 138.778
138.804, 138.836
138.858, 138.89
138.915, 138.947
138.966, 138.997
139.019, 139.051
139.071, 139.103
139.128, 139.16
139.19, 139.223
139.242, 139.301
139.32, 139.353
139.375, 139.406
139.426, 139.458
139.485, 139.516
139.538, 139.569
139.589, 139.621
139.641, 139.673
139.695, 139.727
139.746, 139.778
139.797, 139.829
139.858, 139.884
139.919, 139.941
139.977, 140
140.054, 140.097
140.117, 140.148
140.179, 140.211
140.24, 140.271
140.301, 140.339
140.364, 140.396
140.416, 140.448
143.257, 143.308
143.335, 143.375
143.398, 143.437
143.46, 143.492
143.533, 143.566
143.586, 143.618
143.649, 143.678
143.7, 143.731
143.753, 143.785
143.811, 143.852
143.872, 143.903
143.926, 143.957
143.978, 144.009
144.029, 144.06
144.082, 144.113
144.133, 144.164
144.184, 144.216
144.245, 144.276
144.295, 144.326
144.346, 144.377
144.399, 144.43
144.452, 144.492
144.531, 144.563
144.584, 144.615
144.635, 144.667
144.688, 144.72
144.748, 144.779
144.798, 144.83
144.851, 144.883
144.908, 144.94
147.689, 147.718
147.754, 147.773
147.812, 147.831
147.868, 147.903
147.926, 147.949
147.98, 148.002
148.035, 148.057
148.092, 148.114
148.145, 148.166
148.198, 148.22
148.252, 148.273
148.31, 148.336
148.389, 148.419
148.45, 148.485
148.52, 148.538
148.576, 148.609
148.636, 148.654
148.692, 148.71
148.751, 148.769
148.81, 148.828
148.87, 148.888
148.939, 148.957
149.005, 149.042
149.07, 149.089
149.151, 149.17
149.217, 149.235
149.281, 149.299
149.348, 149.366
149.407, 149.426
149.463, 149.481
149.52, 149.538
149.576, 149.594
152.428, 152.517
152.545, 152.572
152.613, 152.636
152.68, 152.702
152.746, 152.769
152.818, 152.855
152.879, 152.902
152.942, 152.965
153, 153.04
153.065, 153.103
153.127, 153.167
153.189, 153.229
153.255, 153.295
153.321, 153.361
153.386, 153.421
153.462, 153.499
153.526, 153.56
153.585, 153.619
153.647, 153.679
153.721, 153.752
153.782, 153.813
153.879, 153.911
153.94, 153.973
153.999, 154.039
154.065, 154.097
154.13, 154.162
154.233, 154.288
154.32, 154.362
154.396, 154.416
154.472, 154.494
154.534, 154.554
157.404, 157.426
157.483, 157.522
157.547, 157.584
157.613, 157.656
157.679, 157.698
157.742, 157.762
157.824, 157.845
157.886, 157.904
157.951, 157.969
158.017, 158.036
158.078, 158.096
158.14, 158.159
158.205, 158.223
158.269, 158.293
158.335, 158.354
158.399, 158.417
158.459, 158.495
158.561, 158.582
158.623, 158.641
158.68, 158.698
158.744, 158.769
158.81, 158.829
158.874, 158.903
158.953, 158.984
159.017, 159.035
159.076, 159.094
159.138, 159.156
159.204, 159.222
159.285, 159.304
159.348, 159.366
162.188, 162.238
162.265, 162.289
162.334, 162.375
162.398, 162.421
162.463, 162.501
162.539, 162.568
162.603, 162.625
162.662, 162.684
162.744, 162.767
162.8, 162.822
162.857, 162.879
162.91, 162.932
162.969, 163.008
163.031, 163.054
163.095, 163.117
163.157, 163.179
163.221, 163.243
163.286, 163.308
163.348, 163.37
163.405, 163.427
163.459, 163.482
163.516, 163.539
163.578, 163.596
163.643, 163.661
163.71, 163.729
163.769, 163.788
163.825, 163.843
163.889, 163.908
163.947, 163.968
164.004, 164.025
164.067, 164.086
164.134, 164.152
166.968, 167.001
167.05, 167.091
167.115, 167.155
167.178, 167.22
167.245, 167.268
167.306, 167.328
167.367, 167.389
167.448, 167.47
167.517, 167.539
167.585, 167.608
167.651, 167.685
167.712, 167.735
167.773, 167.795
167.829, 167.851
167.884, 167.905
167.944, 167.965
167.999, 168.02
168.055, 168.076
168.122, 168.144
168.185, 168.203
168.258, 168.299
168.337, 168.375
168.399, 168.438
168.475, 168.51
168.54, 168.579
168.6, 168.631
168.66, 168.692
168.718, 168.749
168.781, 168.812
168.845, 168.883
168.91, 168.941
171.796, 171.842
171.875, 171.914
171.938, 171.977
172.008, 172.046
172.075, 172.111
172.137, 172.179
172.211, 172.25
172.274, 172.314
172.344, 172.382
172.416, 172.455
172.485, 172.523
172.55, 172.581
172.61, 172.641
172.667, 172.698
172.733, 172.772
172.801, 172.832
172.865, 172.897
172.928, 172.959
172.984, 173.015
173.038, 173.073
173.096, 173.127
173.153, 173.184
173.208, 173.242
173.265, 173.296
173.321, 173.355
173.376, 173.408
173.438, 173.473
173.493, 173.524
173.559, 173.591
173.622, 173.653
176.496, 176.531
176.571, 176.596
176.649, 176.699
176.734, 176.774
176.804, 176.827
176.88, 176.903
176.958, 176.981
177.031, 177.054
177.096, 177.119
177.164, 177.187
177.228, 177.251
177.292, 177.322
177.357, 177.379
177.425, 177.448
177.489, 177.528
177.562, 177.597
177.625, 177.644
177.689, 177.707
177.757, 177.776
177.823, 177.841
177.884, 177.903
177.94, 177.966
177.997, 178.016
178.055, 178.074
178.111, 178.129
178.166, 178.184
178.222, 178.24
178.277, 178.296
178.334, 178.352
178.395, 178.413
181.283, 181.334
181.362, 181.403
181.431, 181.471
181.496, 181.537
181.563, 181.604
181.632, 181.674
181.71, 181.752
181.775, 181.816
181.842, 181.883
181.905, 181.947
181.971, 182.012
182.035, 182.076
182.098, 182.14
182.165, 182.206
182.227, 182.279
182.307, 182.348
182.374, 182.415
182.437, 182.478
182.5, 182.536
182.561, 182.592
182.615, 182.647
182.671, 182.702
182.733, 182.762
182.85, 182.868
182.904, 182.935
182.959, 182.99
183.014, 183.044
183.07, 183.102
183.126, 183.165
183.189, 183.221
183.248, 183.279
183.305, 183.336
186.135, 186.191
186.221, 186.246
186.287, 186.311
186.351, 186.393
186.418, 186.458
186.482, 186.536
186.558, 186.6
186.624, 186.664
186.686, 186.726
186.749, 186.789
186.813, 186.853
186.874, 186.914
186.935, 186.975
186.998, 187.038
187.059, 187.098
187.123, 187.163
187.184, 187.224
187.245, 187.284
187.308, 187.347
187.369, 187.409
187.43, 187.469
187.493, 187.534
187.564, 187.603
187.628, 187.66
187.685, 187.716
187.738, 187.77
187.795, 187.826
187.853, 187.879
187.904, 187.935
187.957, 187.988
188.008, 188.039
191.26, 191.308
191.336, 191.372
191.393, 191.429
191.454, 191.487
191.518, 191.56
191.585, 191.626
191.653, 191.692
191.715, 191.766
191.789, 191.829
191.853, 191.893
191.915, 191.955
191.977, 192.017
192.04, 192.08
192.102, 192.142
192.164, 192.204
192.229, 192.268
192.29, 192.33
192.351, 192.391
192.416, 192.455
192.494, 192.534
192.558, 192.589
192.61, 192.641
192.661, 192.692
192.714, 192.745
192.766, 192.798
192.818, 192.849
192.871, 192.903
192.93, 192.961
192.982, 193.015
193.052, 193.083
196.298, 196.344
196.372, 196.416
196.439, 196.487
196.511, 196.545
196.571, 196.612
196.634, 196.675
196.696, 196.737
196.76, 196.8
196.823, 196.863
196.886, 196.927
196.948, 196.989
197.01, 197.051
197.074, 197.115
197.136, 197.177
197.2, 197.24
197.265, 197.306
197.326, 197.367
197.39, 197.441
197.464, 197.505
197.527, 197.568
197.589, 197.622
197.644, 197.676
197.695, 197.727
197.747, 197.778
197.8, 197.831
197.851, 197.882
197.905, 197.945
197.964, 197.996
198.016, 198.047
198.069, 198.1
200.866, 200.919
200.952, 200.982
201.019, 201.037
201.079, 201.113
201.134, 201.153
201.196, 201.214
201.253, 201.273
201.319, 201.357
201.38, 201.408
201.44, 201.459
201.498, 201.515
201.56, 201.578
201.622, 201.641
201.686, 201.704
201.753, 201.785
201.815, 201.833
201.878, 201.896
201.95, 201.968
202.022, 202.041
202.094, 202.112
202.16, 202.181
202.219, 202.237
202.284, 202.302
202.339, 202.365
202.393, 202.411
202.447, 202.465
202.5, 202.518
202.551, 202.57
202.606, 202.624
202.661, 202.679
202.716, 202.735
202.775, 202.793
205.651, 205.679
205.728, 205.762
205.792, 205.815
205.863, 205.885
205.918, 205.94
205.974, 205.997
206.027, 206.05
206.109, 206.144
206.171, 206.219
206.241, 206.277
206.3, 206.335
206.369, 206.393
206.447, 206.47
206.513, 206.553
206.588, 206.623
206.652, 206.686
206.709, 206.731
206.761, 206.782
206.817, 206.839
206.875, 206.897
206.93, 206.951
206.994, 207.13
207.15, 207.172
207.216, 207.245
207.294, 207.317
207.353, 207.387
207.417, 207.455
207.478, 207.499
207.534, 207.568
207.591, 207.609
207.657, 207.674
210.783, 210.816
210.865, 210.885
210.933, 210.956
210.995, 211.017
211.055, 211.077
211.112, 211.135
211.169, 211.191
211.227, 211.248
211.286, 211.308
211.344, 211.377
211.4, 211.423
211.462, 211.484
211.523, 211.545
211.588, 211.607
211.648, 211.666
211.705, 211.723
211.763, 211.781
211.818, 211.836
211.876, 211.894
211.932, 211.949
211.989, 212.012
212.049, 212.067
212.113, 212.131
212.173, 212.191
212.264, 212.281
212.331, 212.349
212.402, 212.437
212.492, 212.559
212.601, 212.657
212.687, 212.711
215.646, 215.682
215.733, 215.772
215.797, 215.82
215.864, 215.886
215.934, 215.968
216.001, 216.023
216.063, 216.085
216.121, 216.144
216.18, 216.202
216.245, 216.268
216.325, 216.348
216.392, 216.414
216.455, 216.496
216.538, 216.56
216.601, 216.62
216.667, 216.707
216.73, 216.758
216.788, 216.806
216.847, 216.866
216.905, 216.923
216.968, 216.986
217.045, 217.063
217.109, 217.128
217.167, 217.186
217.228, 217.246
217.286, 217.304
217.344, 217.362
217.402, 217.421
217.46, 217.478
217.523, 217.541
220.541, 220.567
220.653, 220.677
220.736, 220.77
220.826, 220.849
220.896, 220.92
220.955, 220.993
221.019, 221.051
221.081, 221.105
221.139, 221.161
221.2, 221.221
221.256, 221.278
221.318, 221.341
221.377, 221.399
221.439, 221.47
221.516, 221.548
221.579, 221.615
221.637, 221.655
221.696, 221.714
221.752, 221.77
221.808, 221.826
221.865, 221.883
221.921, 221.953
221.977, 222.01
222.03, 222.049
222.086, 222.104
222.14, 222.159
222.193, 222.211
222.248, 222.274
222.309, 222.327
222.363, 222.381
222.414, 222.433
222.474, 222.492
235.69, 235.73
235.78, 235.805
235.843, 235.866
235.903, 235.926
235.965, 235.988
236.028, 236.051
236.089, 236.112
236.153, 236.176
236.217, 236.24
236.277, 236.299
236.332, 236.354
236.387, 236.409
236.442, 236.474
236.511, 236.535
236.567, 236.589
236.621, 236.64
236.675, 236.693
236.731, 236.749
236.788, 236.806
236.85, 236.868
236.915, 236.934
236.978, 236.997
237.04, 237.058
237.1, 237.118
237.157, 237.176
237.221, 237.239
237.284, 237.302
237.344, 237.363
