Time, Time Step, Voltage 1, Voltage 2, Voltage 3, Voltage 4, Voltage 5, Voltage 6, Voltage 7, Current 1
3.13500000000000003085e-09, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230802266755e+00, 2.45081967230802000302e+00, 2.45081967230802089119e+00, 2.45081967230802444391e+00, 2.45081967230802311164e+00, 2.45081967230802177937e+00, -9.64686865089940952418e-04
3.63499999999999995859e-09, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230802177937e+00, 2.45081967230802177937e+00, 2.45081967230802133528e+00, 2.45081967230802622026e+00, 2.45081967230802444391e+00, 2.45081967230801955893e+00, -9.64686865089941819780e-04
4.13500000000000029993e-09, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230802044710e+00, 2.45081967230802311164e+00, 2.45081967230802222346e+00, 2.45081967230802488800e+00, 2.45081967230802444391e+00, 2.45081967230801867075e+00, -9.64686865089939542955e-04
4.63500000000000064126e-09, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230801911484e+00, 2.45081967230802577618e+00, 2.45081967230802355573e+00, 2.45081967230802177937e+00, 2.45081967230802355573e+00, 2.45081967230801778257e+00, -9.64686865089941277679e-04
5.13500000000000098259e-09, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230801867075e+00, 2.45081967230802888480e+00, 2.45081967230802533209e+00, 2.45081967230801955893e+00, 2.45081967230802222346e+00, 2.45081967230801867075e+00, -9.64686865089941494519e-04
5.63500000000000132393e-09, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230801911484e+00, 2.45081967230802977298e+00, 2.45081967230802666435e+00, 2.45081967230801645030e+00, 2.45081967230802044710e+00, 2.45081967230802089119e+00, -9.64686865089941602940e-04
6.13500000000000166526e-09, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230802044710e+00, 2.45081967230802977298e+00, 2.45081967230802755253e+00, 2.45081967230801378577e+00, 2.45081967230801822666e+00, 2.45081967230802399982e+00, -9.64686865089942036620e-04
6.63500000000000200660e-09, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230802266755e+00, 2.45081967230802755253e+00, 2.45081967230802755253e+00, 2.45081967230801200941e+00, 2.45081967230801600621e+00, 2.45081967230802755253e+00, -9.64686865089940627158e-04
7.13500000000000234793e-09, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230802577618e+00, 2.45081967230802399982e+00, 2.45081967230802622026e+00, 2.45081967230801156532e+00, 2.45081967230801467394e+00, 2.45081967230803154933e+00, -9.64686865089941060838e-04
7.63500000000000186208e-09, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230802932889e+00, 2.45081967230801822666e+00, 2.45081967230802355573e+00, 2.45081967230801200941e+00, 2.45081967230801378577e+00, 2.45081967230803599023e+00, -9.64686865089940952418e-04
8.13500000000000137623e-09, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230803199342e+00, 2.45081967230801245350e+00, 2.45081967230802000302e+00, 2.45081967230801733848e+00, 2.45081967230801511803e+00, 2.45081967230803732249e+00, -9.64686865089941386099e-04
8.63500000000000089039e-09, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230803376978e+00, 2.45081967230800756852e+00, 2.45081967230801600621e+00, 2.45081967230802177937e+00, 2.45081967230801733848e+00, 2.45081967230803732249e+00, -9.64686865089942036620e-04
9.13500000000000040454e-09, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230803376978e+00, 2.45081967230800312763e+00, 2.45081967230801156532e+00, 2.45081967230803021707e+00, 2.45081967230802177937e+00, 2.45081967230803421387e+00, -9.64686865089942687142e-04
9.63499999999999991869e-09, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230803199342e+00, 2.45081967230800135127e+00, 2.45081967230800801261e+00, 2.45081967230803643432e+00, 2.45081967230802622026e+00, 2.45081967230802888480e+00, -9.64686865089942036620e-04
1.01349999999999994328e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230802844071e+00, 2.45081967230800223945e+00, 2.45081967230800623625e+00, 2.45081967230804309565e+00, 2.45081967230803199342e+00, 2.45081967230802133528e+00, -9.64686865089942036620e-04
1.06349999999999989470e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230802266755e+00, 2.45081967230800579216e+00, 2.45081967230800623625e+00, 2.45081967230804931290e+00, 2.45081967230803776658e+00, 2.45081967230801156532e+00, -9.64686865089941819780e-04
1.11349999999999984612e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230801511803e+00, 2.45081967230801556212e+00, 2.45081967230800978896e+00, 2.45081967230805108926e+00, 2.45081967230804220748e+00, 2.45081967230800135127e+00, -9.64686865089941494519e-04
1.16349999999999979753e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230800712443e+00, 2.45081967230802666435e+00, 2.45081967230801556212e+00, 2.45081967230805020108e+00, 2.45081967230804487201e+00, 2.45081967230799158131e+00, -9.64686865089939976636e-04
1.21349999999999974895e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230799957491e+00, 2.45081967230803954294e+00, 2.45081967230802355573e+00, 2.45081967230804309565e+00, 2.45081967230804442792e+00, 2.45081967230798491997e+00, -9.64686865089941277679e-04
1.26349999999999970036e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230799291357e+00, 2.45081967230805419788e+00, 2.45081967230803376978e+00, 2.45081967230803154933e+00, 2.45081967230803998703e+00, 2.45081967230798003499e+00, -9.64686865089941928200e-04
1.31349999999999965178e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230798980495e+00, 2.45081967230807018510e+00, 2.45081967230804620428e+00, 2.45081967230801511803e+00, 2.45081967230803154933e+00, 2.45081967230798314361e+00, -9.64686865089941060838e-04
1.36349999999999960319e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230799158131e+00, 2.45081967230807906688e+00, 2.45081967230805730651e+00, 2.45081967230799380175e+00, 2.45081967230801911484e+00, 2.45081967230799468993e+00, -9.64686865089939759796e-04
1.41349999999999955461e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230799868673e+00, 2.45081967230808261959e+00, 2.45081967230806574420e+00, 2.45081967230797204138e+00, 2.45081967230800357171e+00, 2.45081967230801245350e+00, -9.64686865089939434535e-04
1.46349999999999950602e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230801200941e+00, 2.45081967230807729052e+00, 2.45081967230806974101e+00, 2.45081967230795205737e+00, 2.45081967230798625224e+00, 2.45081967230803909885e+00, -9.64686865089942145041e-04
1.51349999999999962287e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230803066116e+00, 2.45081967230805997104e+00, 2.45081967230806663238e+00, 2.45081967230793917878e+00, 2.45081967230797026502e+00, 2.45081967230806796465e+00, -9.64686865089940410317e-04
1.56349999999999973973e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230805375380e+00, 2.45081967230803110525e+00, 2.45081967230805464197e+00, 2.45081967230793607015e+00, 2.45081967230795916279e+00, 2.45081967230809949498e+00, -9.64686865089940627158e-04
1.61349999999999985658e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230807773461e+00, 2.45081967230799424584e+00, 2.45081967230803465796e+00, 2.45081967230794628421e+00, 2.45081967230795472190e+00, 2.45081967230812614034e+00, -9.64686865089941169259e-04
1.66349999999999997343e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230809949498e+00, 2.45081967230795072510e+00, 2.45081967230800668034e+00, 2.45081967230797292956e+00, 2.45081967230796093915e+00, 2.45081967230814301573e+00, -9.64686865089941277679e-04
1.71350000000000009028e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230811459402e+00, 2.45081967230790809253e+00, 2.45081967230797426183e+00, 2.45081967230801422986e+00, 2.45081967230797870272e+00, 2.45081967230814523617e+00, -9.64686865089941277679e-04
1.76350000000000020713e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230811859082e+00, 2.45081967230787034495e+00, 2.45081967230793962287e+00, 2.45081967230806840874e+00, 2.45081967230800845670e+00, 2.45081967230812747260e+00, -9.64686865089941060838e-04
1.81350000000000032398e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230810837677e+00, 2.45081967230784814049e+00, 2.45081967230790898071e+00, 2.45081967230813013714e+00, 2.45081967230804931290e+00, 2.45081967230808794866e+00, -9.64686865089940627158e-04
1.86350000000000044083e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230808039915e+00, 2.45081967230784858458e+00, 2.45081967230788899670e+00, 2.45081967230819364190e+00, 2.45081967230809771863e+00, 2.45081967230802533209e+00, -9.64686865089940952418e-04
1.91350000000000055768e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230803554614e+00, 2.45081967230787745038e+00, 2.45081967230788499990e+00, 2.45081967230824382398e+00, 2.45081967230814612435e+00, 2.45081967230794495194e+00, -9.64686865089941494519e-04
1.96350000000000067454e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230797515001e+00, 2.45081967230793873469e+00, 2.45081967230790320755e+00, 2.45081967230827268978e+00, 2.45081967230818831283e+00, 2.45081967230785524592e+00, -9.64686865089941602940e-04
2.01350000000000079139e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230790587209e+00, 2.45081967230803110525e+00, 2.45081967230794584012e+00, 2.45081967230826824888e+00, 2.45081967230821451409e+00, 2.45081967230776731625e+00, -9.64686865089940735578e-04
2.06350000000000090824e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230783615008e+00, 2.45081967230814878889e+00, 2.45081967230801334168e+00, 2.45081967230822161952e+00, 2.45081967230821717862e+00, 2.45081967230769670607e+00, -9.64686865089941602940e-04
2.11350000000000102509e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230777753031e+00, 2.45081967230827846294e+00, 2.45081967230810171543e+00, 2.45081967230812702851e+00, 2.45081967230818698056e+00, 2.45081967230766073484e+00, -9.64686865089941060838e-04
2.16350000000000114194e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230774333544e+00, 2.45081967230840280791e+00, 2.45081967230820207959e+00, 2.45081967230798980495e+00, 2.45081967230812125536e+00, 2.45081967230767450161e+00, -9.64686865089941602940e-04
2.21350000000000125879e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230774599997e+00, 2.45081967230849828709e+00, 2.45081967230830111149e+00, 2.45081967230781838651e+00, 2.45081967230802044710e+00, 2.45081967230775088495e+00, -9.64686865089941711360e-04
2.26350000000000137564e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230779484979e+00, 2.45081967230854314010e+00, 2.45081967230838193572e+00, 2.45081967230763009269e+00, 2.45081967230789032897e+00, 2.45081967230789343759e+00, -9.64686865089941277679e-04
2.31350000000000149250e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230789610213e+00, 2.45081967230851249795e+00, 2.45081967230842545646e+00, 2.45081967230745467745e+00, 2.45081967230774511179e+00, 2.45081967230809905089e+00, -9.64686865089940843998e-04
2.36350000000000160935e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230804753655e+00, 2.45081967230839214977e+00, 2.45081967230841435423e+00, 2.45081967230732633567e+00, 2.45081967230760566778e+00, 2.45081967230834951721e+00, -9.64686865089941494519e-04
2.41350000000000172620e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230823760673e+00, 2.45081967230817499015e+00, 2.45081967230833486227e+00, 2.45081967230727393314e+00, 2.45081967230749508957e+00, 2.45081967230861730300e+00, -9.64686865089940193477e-04
2.46350000000000184305e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230844588457e+00, 2.45081967230787123313e+00, 2.45081967230818031922e+00, 2.45081967230733210883e+00, 2.45081967230744046660e+00, 2.45081967230886332842e+00, -9.64686865089940518737e-04
2.51350000000000195990e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230864261609e+00, 2.45081967230750485953e+00, 2.45081967230795516599e+00, 2.45081967230752395537e+00, 2.45081967230746844422e+00, 2.45081967230903696731e+00, -9.64686865089940843998e-04
2.56350000000000207675e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230879227415e+00, 2.45081967230712249872e+00, 2.45081967230767761023e+00, 2.45081967230785169320e+00, 2.45081967230759634191e+00, 2.45081967230909247846e+00, -9.64686865089941060838e-04
2.61350000000000219360e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230885711118e+00, 2.45081967230678143821e+00, 2.45081967230737918229e+00, 2.45081967230830066740e+00, 2.45081967230783126510e+00, 2.45081967230898634114e+00, -9.64686865089941386099e-04
2.66350000000000231046e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230880115594e+00, 2.45081967230654784728e+00, 2.45081967230710207062e+00, 2.45081967230883002173e+00, 2.45081967230816433201e+00, 2.45081967230868880137e+00, -9.64686865089941928200e-04
2.71350000000000242731e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230859909535e+00, 2.45081967230649455658e+00, 2.45081967230689956594e+00, 2.45081967230937802782e+00, 2.45081967230856889728e+00, 2.45081967230819497416e+00, -9.64686865089940952418e-04
2.76350000000000254416e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230824426807e+00, 2.45081967230667929769e+00, 2.45081967230682629122e+00, 2.45081967230985320327e+00, 2.45081967230899699928e+00, 2.45081967230753372533e+00, -9.64686865089940410317e-04
2.81350000000000266101e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230775088495e+00, 2.45081967230714159456e+00, 2.45081967230693154036e+00, 2.45081967231016140119e+00, 2.45081967230938513325e+00, 2.45081967230676456282e+00, -9.64686865089941060838e-04
2.86350000000000277786e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230716291084e+00, 2.45081967230788100309e+00, 2.45081967230724773188e+00, 2.45081967231020092512e+00, 2.45081967230965735993e+00, 2.45081967230598696261e+00, -9.64686865089941277679e-04
2.91350000000000289471e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230655051182e+00, 2.45081967230885489073e+00, 2.45081967230778374756e+00, 2.45081967230988606588e+00, 2.45081967230973329919e+00, 2.45081967230532571378e+00, -9.64686865089941277679e-04
2.96350000000000301156e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230600916707e+00, 2.45081967230996822238e+00, 2.45081967230851205386e+00, 2.45081967230917241451e+00, 2.45081967230954633763e+00, 2.45081967230492692167e+00, -9.64686865089941386099e-04
3.01350000000000312842e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230564945481e+00, 2.45081967231107133998e+00, 2.45081967230936514923e+00, 2.45081967230806485603e+00, 2.45081967230905251043e+00, 2.45081967230493003029e+00, -9.64686865089940193477e-04
3.06350000000000291440e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230558239734e+00, 2.45081967231198127877e+00, 2.45081967231023734044e+00, 2.45081967230663577695e+00, 2.45081967230824693260e+00, 2.45081967230544917058e+00, -9.64686865089941386099e-04
