Begin Mid, End Mid
121.117, 121.134
121.178, 121.2
121.236, 121.254
121.299, 121.317
121.362, 121.38
121.424, 121.442
121.478, 121.496
121.539, 121.557
121.593, 121.611
121.643, 121.661
121.695, 121.713
121.75, 121.767
121.806, 121.823
121.859, 121.876
121.917, 121.934
121.967, 121.984
122.02, 122.039
122.115, 122.145
122.175, 122.193
122.228, 122.246
122.282, 122.3
122.333, 122.35
125.165, 125.198
125.228, 125.251
125.289, 125.31
125.35, 125.372
125.42, 125.442
125.484, 125.506
125.545, 125.567
125.604, 125.626
125.665, 125.687
125.736, 125.758
125.797, 125.82
125.859, 125.881
125.919, 125.942
125.979, 126.001
126.04, 126.063
126.099, 126.121
126.158, 126.18
126.218, 126.239
126.277, 126.3
126.351, 126.372
126.411, 126.432
126.465, 126.482
126.519, 126.537
126.569, 126.587
126.618, 126.637
126.68, 126.698
126.73, 126.748
126.781, 126.799
126.833, 126.85
126.885, 126.903
129.651, 129.679
129.723, 129.743
129.779, 129.798
129.833, 129.851
129.888, 129.906
129.939, 129.958
129.992, 130.01
130.061, 130.093
130.115, 130.145
130.172, 130.191
130.225, 130.243
130.277, 130.295
130.329, 130.347
130.381, 130.399
130.432, 130.454
130.492, 130.514
130.543, 130.566
130.592, 130.615
130.646, 130.668
130.697, 130.719
130.747, 130.77
130.799, 130.821
130.85, 130.872
130.903, 130.935
130.992, 131.032
131.067, 131.112
131.134, 131.166
131.187, 131.21
131.245, 131.268
131.31, 131.332
131.367, 131.39
131.418, 131.44
134.172, 134.201
134.235, 134.254
134.289, 134.307
134.345, 134.377
134.405, 134.457
134.475, 134.497
134.54, 134.562
134.6, 134.621
134.667, 134.689
134.73, 134.752
134.791, 134.813
134.851, 134.873
134.91, 134.931
134.968, 134.99
135.026, 135.048
135.085, 135.106
135.143, 135.165
135.203, 135.225
135.263, 135.285
135.321, 135.343
135.389, 135.411
135.447, 135.465
135.498, 135.516
135.551, 135.569
135.601, 135.62
135.66, 135.678
135.713, 135.731
135.764, 135.781
135.814, 135.832
135.866, 135.884
135.924, 135.942
138.73, 138.753
138.801, 138.822
138.856, 138.878
138.914, 138.936
138.966, 138.988
139.019, 139.042
139.07, 139.092
139.128, 139.15
139.19, 139.212
139.242, 139.278
139.32, 139.343
139.375, 139.397
139.426, 139.448
139.485, 139.507
139.538, 139.561
139.589, 139.612
139.641, 139.664
139.695, 139.717
139.746, 139.768
139.797, 139.829
139.859, 139.89
139.919, 139.949
139.974, 140.005
140.053, 140.088
140.117, 140.148
140.179, 140.216
140.24, 140.271
140.297, 140.32
140.363, 140.386
140.416, 140.439
143.253, 143.282
143.332, 143.351
143.396, 143.415
143.46, 143.514
143.533, 143.555
143.586, 143.624
143.647, 143.678
143.7, 143.723
143.75, 143.772
143.81, 143.833
143.872, 143.894
143.926, 143.949
143.978, 144
144.029, 144.051
144.082, 144.104
144.133, 144.155
144.184, 144.207
144.243, 144.266
144.295, 144.318
144.346, 144.369
144.399, 144.422
144.452, 144.481
144.53, 144.549
144.584, 144.603
144.634, 144.653
144.688, 144.706
144.747, 144.765
144.798, 144.817
144.851, 144.869
144.907, 144.925
147.687, 147.727
147.752, 147.785
147.81, 147.846
147.868, 147.891
147.926, 147.945
147.98, 147.999
148.035, 148.053
148.092, 148.11
148.145, 148.163
148.198, 148.216
148.252, 148.271
148.31, 148.332
148.387, 148.406
148.45, 148.481
148.52, 148.538
148.576, 148.6
148.636, 148.654
148.692, 148.71
148.751, 148.769
148.81, 148.831
148.87, 148.888
148.939, 148.957
149.004, 149.033
149.07, 149.089
149.151, 149.17
149.217, 149.235
149.281, 149.299
149.348, 149.366
149.407, 149.426
149.463, 149.481
149.52, 149.538
149.576, 149.594
152.422, 152.449
152.544, 152.567
152.613, 152.636
152.68, 152.702
152.746, 152.769
152.817, 152.84
152.879, 152.902
152.942, 152.965
153, 153.037
153.065, 153.105
153.126, 153.163
153.189, 153.223
153.253, 153.286
153.321, 153.355
153.386, 153.425
153.462, 153.495
153.526, 153.558
153.585, 153.618
153.647, 153.679
153.721, 153.752
153.782, 153.813
153.879, 153.911
153.94, 153.972
153.999, 154.031
154.065, 154.097
154.13, 154.162
154.222, 154.254
154.315, 154.351
154.396, 154.436
154.47, 154.511
154.534, 154.552
157.399, 157.431
157.481, 157.501
157.543, 157.563
157.609, 157.628
157.679, 157.697
157.742, 157.761
157.824, 157.843
157.886, 157.904
157.951, 157.969
158.017, 158.036
158.078, 158.096
158.14, 158.158
158.205, 158.223
158.269, 158.287
158.335, 158.353
158.399, 158.417
158.457, 158.476
158.548, 158.568
158.623, 158.641
158.68, 158.697
158.744, 158.762
158.808, 158.826
158.874, 158.892
158.952, 158.97
159.017, 159.035
159.076, 159.094
159.138, 159.156
159.204, 159.222
159.285, 159.304
159.347, 159.372
162.181, 162.213
162.261, 162.283
162.331, 162.356
162.398, 162.431
162.463, 162.498
162.539, 162.562
162.603, 162.634
162.659, 162.681
162.744, 162.767
162.8, 162.821
162.857, 162.879
162.91, 162.932
162.968, 162.989
163.031, 163.054
163.095, 163.117
163.157, 163.179
163.221, 163.243
163.286, 163.308
163.348, 163.37
163.405, 163.434
163.459, 163.482
163.516, 163.534
163.578, 163.596
163.643, 163.661
163.71, 163.729
163.769, 163.788
163.825, 163.843
163.889, 163.907
163.947, 163.965
164.004, 164.022
164.067, 164.085
164.134, 164.152
166.968, 166.996
167.048, 167.068
167.113, 167.132
167.176, 167.195
167.244, 167.263
167.306, 167.325
167.367, 167.386
167.448, 167.467
167.515, 167.534
167.585, 167.604
167.651, 167.67
167.712, 167.738
167.773, 167.793
167.828, 167.846
167.884, 167.902
167.944, 167.963
167.999, 168.017
168.055, 168.074
168.122, 168.141
168.185, 168.206
168.258, 168.299
168.337, 168.377
168.399, 168.438
168.475, 168.51
168.54, 168.572
168.6, 168.631
168.66, 168.692
168.718, 168.749
168.781, 168.812
168.845, 168.877
168.91, 168.941
171.796, 171.842
171.875, 171.914
171.938, 171.977
172.008, 172.046
172.075, 172.114
172.137, 172.174
172.211, 172.247
172.274, 172.321
172.345, 172.385
172.416, 172.455
172.485, 172.523
172.55, 172.581
172.61, 172.641
172.667, 172.698
172.733, 172.765
172.801, 172.832
172.865, 172.897
172.928, 172.959
172.984, 173.015
173.038, 173.07
173.096, 173.127
173.153, 173.184
173.208, 173.239
173.265, 173.296
173.321, 173.353
173.376, 173.408
173.438, 173.469
173.493, 173.524
173.559, 173.591
173.622, 173.653
176.496, 176.545
176.57, 176.594
176.649, 176.672
176.73, 176.753
176.804, 176.827
176.88, 176.903
176.958, 176.993
177.031, 177.054
177.096, 177.119
177.164, 177.185
177.228, 177.249
177.292, 177.315
177.357, 177.379
177.425, 177.455
177.488, 177.53
177.561, 177.58
177.625, 177.644
177.689, 177.707
177.757, 177.776
177.823, 177.841
177.884, 177.903
177.94, 177.959
177.997, 178.016
178.055, 178.074
178.111, 178.129
178.166, 178.184
178.222, 178.24
178.277, 178.296
178.334, 178.357
178.395, 178.413
181.28, 181.31
181.359, 181.378
181.428, 181.446
181.494, 181.512
181.561, 181.583
181.63, 181.653
181.708, 181.731
181.774, 181.797
181.841, 181.863
181.905, 181.928
181.97, 181.992
182.034, 182.057
182.098, 182.121
182.165, 182.187
182.227, 182.25
182.305, 182.328
182.372, 182.395
182.435, 182.457
182.499, 182.521
182.56, 182.578
182.615, 182.633
182.67, 182.688
182.731, 182.749
182.837, 182.865
182.904, 182.922
182.958, 182.976
183.014, 183.032
183.07, 183.089
183.126, 183.143
183.187, 183.205
183.246, 183.278
183.305, 183.336
186.134, 186.172
186.218, 186.261
186.286, 186.328
186.351, 186.374
186.418, 186.442
186.482, 186.506
186.558, 186.581
186.623, 186.646
186.686, 186.707
186.748, 186.771
186.812, 186.835
186.874, 186.908
186.935, 186.959
186.998, 187.022
187.059, 187.082
187.123, 187.146
187.184, 187.207
187.245, 187.268
187.308, 187.33
187.369, 187.391
187.429, 187.451
187.492, 187.514
187.563, 187.581
187.625, 187.643
187.683, 187.701
187.736, 187.76
187.794, 187.812
187.853, 187.884
187.904, 187.922
187.957, 187.976
188.008, 188.026
191.259, 191.291
191.334, 191.354
191.393, 191.412
191.45, 191.468
191.516, 191.535
191.582, 191.604
191.65, 191.673
191.714, 191.736
191.787, 191.81
191.853, 191.875
191.914, 191.937
191.977, 192
192.039, 192.074
192.102, 192.126
192.164, 192.188
192.229, 192.251
192.289, 192.312
192.351, 192.374
192.416, 192.439
192.494, 192.519
192.558, 192.576
192.61, 192.629
192.661, 192.679
192.714, 192.732
192.766, 192.785
192.818, 192.836
192.871, 192.903
192.93, 192.961
192.982, 193.031
193.052, 193.071
196.295, 196.325
196.369, 196.392
196.437, 196.46
196.508, 196.532
196.568, 196.591
196.632, 196.654
196.695, 196.717
196.759, 196.781
196.821, 196.844
196.885, 196.907
196.947, 196.97
197.009, 197.032
197.073, 197.096
197.136, 197.159
197.199, 197.221
197.264, 197.287
197.326, 197.349
197.389, 197.411
197.462, 197.485
197.526, 197.549
197.588, 197.607
197.643, 197.661
197.694, 197.712
197.746, 197.764
197.799, 197.817
197.85, 197.868
197.904, 197.923
197.963, 197.981
198.015, 198.033
198.068, 198.086
200.865, 200.902
200.95, 200.971
201.019, 201.037
201.079, 201.098
201.134, 201.153
201.196, 201.214
201.253, 201.271
201.313, 201.331
201.379, 201.397
201.439, 201.457
201.498, 201.515
201.56, 201.578
201.622, 201.641
201.686, 201.704
201.753, 201.771
201.815, 201.833
201.878, 201.896
201.95, 201.969
202.022, 202.041
202.094, 202.112
202.16, 202.178
202.219, 202.237
202.284, 202.302
202.339, 202.357
202.393, 202.411
202.447, 202.465
202.5, 202.518
202.551, 202.57
202.606, 202.624
202.661, 202.679
202.716, 202.746
202.775, 202.793
205.651, 205.682
205.728, 205.756
205.792, 205.811
205.863, 205.881
205.918, 205.936
205.974, 205.992
206.027, 206.045
206.107, 206.129
206.17, 206.192
206.24, 206.262
206.298, 206.323
206.363, 206.385
206.446, 206.469
206.512, 206.544
206.586, 206.621
206.65, 206.669
206.708, 206.726
206.761, 206.779
206.817, 206.835
206.875, 206.893
206.93, 206.948
206.991, 207.009
207.147, 207.17
207.215, 207.252
207.294, 207.313
207.353, 207.371
207.416, 207.434
207.477, 207.495
207.532, 207.551
207.59, 207.608
207.657, 207.674
210.781, 210.818
210.865, 210.889
210.933, 210.952
210.995, 211.014
211.055, 211.074
211.112, 211.131
211.169, 211.188
211.227, 211.245
211.286, 211.304
211.343, 211.36
211.4, 211.419
211.462, 211.48
211.523, 211.542
211.588, 211.607
211.648, 211.671
211.705, 211.723
211.763, 211.781
211.818, 211.836
211.876, 211.894
211.932, 211.949
211.989, 212.006
212.049, 212.067
212.113, 212.131
212.173, 212.191
212.264, 212.281
212.331, 212.349
212.401, 212.419
212.492, 212.534
212.601, 212.62
212.686, 212.704
215.646, 215.677
215.732, 215.769
215.797, 215.82
215.864, 215.886
215.934, 215.956
216.001, 216.023
216.063, 216.085
216.121, 216.144
216.18, 216.202
216.245, 216.268
216.325, 216.348
216.392, 216.414
216.455, 216.496
216.538, 216.56
216.601, 216.62
216.665, 216.683
216.73, 216.748
216.788, 216.806
216.847, 216.866
216.905, 216.923
216.968, 216.986
217.045, 217.063
217.109, 217.128
217.167, 217.186
217.228, 217.246
217.286, 217.304
217.344, 217.362
217.402, 217.421
217.46, 217.478
217.523, 217.541
220.54, 220.576
220.653, 220.686
220.736, 220.758
220.825, 220.843
220.893, 220.911
220.955, 220.973
221.017, 221.035
221.081, 221.1
221.139, 221.159
221.2, 221.218
221.256, 221.275
221.316, 221.335
221.377, 221.395
221.437, 221.457
221.514, 221.535
221.577, 221.595
221.635, 221.653
221.696, 221.714
221.752, 221.77
221.808, 221.834
221.865, 221.883
221.92, 221.938
221.976, 221.994
222.03, 222.049
222.086, 222.104
222.14, 222.159
222.193, 222.211
222.248, 222.266
222.309, 222.327
222.363, 222.381
222.414, 222.433
222.474, 222.492
235.688, 235.729
235.779, 235.804
235.841, 235.865
235.902, 235.924
235.964, 235.987
236.028, 236.051
236.089, 236.112
236.153, 236.176
236.217, 236.24
236.277, 236.299
236.332, 236.354
236.387, 236.409
236.442, 236.472
236.511, 236.534
236.567, 236.589
236.621, 236.64
236.675, 236.693
236.731, 236.749
236.788, 236.806
236.85, 236.868
236.915, 236.934
236.978, 236.997
237.04, 237.058
237.1, 237.118
237.157, 237.176
237.221, 237.239
237.284, 237.302
237.344, 237.457
237.475, 237.493
237.54, 237.558
237.613, 237.631
240.717, 240.748
240.797, 240.817
240.863, 240.882
240.932, 240.951
240.998, 241.017
241.058, 241.077
241.114, 241.132
241.169, 241.188
241.223, 241.241
241.279, 241.299
241.337, 241.355
241.393, 241.411
241.448, 241.466
241.504, 241.522
241.558, 241.576
241.612, 241.63
241.668, 241.686
241.723, 241.741
241.778, 241.817
241.836, 241.853
241.892, 241.91
241.971, 241.988
242.036, 242.054
242.126, 242.144
242.193, 242.212
242.259, 242.278
242.323, 242.342
242.379, 242.397
242.437, 242.455
242.495, 242.514
245.435, 245.47
245.517, 245.541
245.589, 245.612
245.653, 245.672
245.711, 245.73
245.778, 245.796
245.844, 245.862
245.937, 245.954
246.004, 246.023
246.082, 246.101
246.15, 246.168
246.234, 246.251
246.297, 246.316
246.356, 246.375
246.414, 246.432
246.471, 246.489
246.535, 246.553
246.59, 246.609
246.646, 246.664
246.704, 246.722
246.76, 246.779
246.817, 246.836
246.879, 246.897
246.935, 246.953
247, 247.019
247.063, 247.082
247.129, 247.147
247.195, 247.213
247.261, 247.28
247.328, 247.346
250.173, 250.206
250.238, 250.258
250.287, 250.306
250.336, 250.356
250.382, 250.401
250.439, 250.458
250.496, 250.519
250.558, 250.581
250.62, 250.642
250.688, 250.707
250.728, 250.746
250.765, 250.789
250.825, 250.857
250.889, 250.922
250.968, 250.988
251.046, 251.064
251.101, 251.119
251.168, 251.187
251.211, 251.23
251.251, 251.269
251.291, 251.309
251.342, 251.36
251.381, 251.4
251.424, 251.442
251.463, 251.481
251.501, 251.518
251.54, 251.558
251.589, 251.607
251.642, 251.662
251.703, 251.723
251.755, 251.774
251.8, 251.819
254.616, 254.65
254.683, 254.703
254.733, 254.753
254.787, 254.806
254.832, 254.851
254.878, 254.896
254.924, 254.944
254.968, 254.988
255.013, 255.032
255.055, 255.074
255.099, 255.118
255.142, 255.161
255.185, 255.204
255.226, 255.245
255.271, 255.289
255.313, 255.332
255.355, 255.374
255.397, 255.416
255.441, 255.459
255.486, 255.505
255.53, 255.549
255.571, 255.589
255.686, 255.707
255.738, 255.756
255.776, 255.794
255.815, 255.834
255.854, 255.872
255.892, 255.91
255.931, 255.949
255.967, 255.985
256.006, 256.024
258.784, 258.815
258.842, 258.862
258.891, 258.91
258.937, 258.955
258.981, 258.999
259.027, 259.046
259.072, 259.091
259.113, 259.132
259.159, 259.178
259.2, 259.219
259.243, 259.262
259.285, 259.303
259.325, 259.343
259.373, 259.392
259.44, 259.459
259.503, 259.522
259.565, 259.583
259.623, 259.645
259.683, 259.701
259.723, 259.741
259.761, 259.78
259.798, 259.816
259.838, 259.856
259.876, 259.894
259.916, 259.935
259.955, 259.973
259.992, 260.01
260.033, 260.051
260.072, 260.09
260.11, 260.129
262.952, 262.983
263.041, 263.06
263.093, 263.112
263.143, 263.162
263.189, 263.208
263.235, 263.253
263.282, 263.3
263.324, 263.343
263.366, 263.384
263.409, 263.427
263.454, 263.472
263.496, 263.514
263.54, 263.558
263.582, 263.6
263.624, 263.642
263.668, 263.686
263.707, 263.725
263.746, 263.764
263.783, 263.802
263.821, 263.839
263.859, 263.878
263.897, 263.916
263.935, 263.953
263.974, 263.992
264.011, 264.029
264.048, 264.066
264.088, 264.105
264.125, 264.144
264.163, 264.182
264.202, 264.221
264.24, 264.258
264.279, 264.297
267.076, 267.111
267.137, 267.16
267.186, 267.208
267.236, 267.258
267.281, 267.303
267.328, 267.351
267.372, 267.394
267.416, 267.439
267.461, 267.483
267.503, 267.525
267.545, 267.568
267.59, 267.612
267.64, 267.662
267.682, 267.703
267.728, 267.747
267.833, 267.858
267.887, 267.905
267.933, 267.951
267.976, 267.994
268.02, 268.038
268.063, 268.082
268.106, 268.124
268.15, 268.169
268.192, 268.211
268.234, 268.26
268.281, 268.299
268.34, 268.367
268.405, 268.428
268.491, 268.533
268.571, 268.612
268.633, 268.673
271.435, 271.481
271.505, 271.547
271.571, 271.612
271.634, 271.675
271.697, 271.715
271.762, 271.781
271.823, 271.841
271.886, 271.904
271.949, 271.968
272.012, 272.03
272.076, 272.094
272.138, 272.157
272.2, 272.219
272.265, 272.283
272.326, 272.344
272.388, 272.406
272.455, 272.497
272.547, 272.566
272.61, 272.628
272.675, 272.693
272.73, 272.748
272.781, 272.799
272.833, 272.851
272.884, 272.902
272.936, 272.955
272.986, 273.005
273.035, 273.053
273.088, 273.106
273.138, 273.17
273.208, 273.238
276.025, 276.071
276.095, 276.131
276.154, 276.19
276.21, 276.229
276.266, 276.286
276.323, 276.342
276.379, 276.397
276.433, 276.451
276.501, 276.52
276.555, 276.574
276.61, 276.629
276.667, 276.685
276.722, 276.74
276.776, 276.794
276.83, 276.848
276.881, 276.9
276.935, 276.953
276.986, 277.004
277.039, 277.057
277.091, 277.109
277.143, 277.16
277.192, 277.21
277.246, 277.27
277.296, 277.317
277.347, 277.366
277.402, 277.42
277.453, 277.471
277.505, 277.523
277.558, 277.576
277.609, 277.628
280.4, 280.431
280.492, 280.533
280.558, 280.599
280.621, 280.661
280.687, 280.724
280.743, 280.777
280.801, 280.82
280.854, 280.873
280.905, 280.924
280.957, 280.976
281.014, 281.033
281.066, 281.085
281.119, 281.137
281.17, 281.189
281.223, 281.241
281.275, 281.293
281.326, 281.344
281.379, 281.411
281.431, 281.463
281.482, 281.5
281.533, 281.552
281.587, 281.605
281.639, 281.656
281.693, 281.711
281.745, 281.763
281.798, 281.817
281.851, 281.869
281.903, 281.922
281.955, 281.986
282.014, 282.034
282.074, 282.093
282.128, 282.147
285.095, 285.139
285.164, 285.198
285.221, 285.255
285.281, 285.304
285.335, 285.367
285.387, 285.419
285.442, 285.474
285.493, 285.515
285.547, 285.585
285.607, 285.637
285.659, 285.681
285.714, 285.747
285.774, 285.807
285.841, 285.875
285.911, 285.945
285.967, 285.986
286.023, 286.042
286.083, 286.1
