Begin Down, End Down
121.302, 121.341
121.364, 121.405
121.426, 121.459
121.478, 121.522
121.541, 121.573
121.594, 121.626
121.645, 121.677
121.696, 121.729
121.751, 121.79
121.807, 121.84
121.861, 121.893
121.918, 121.95
121.969, 122.002
122.041, 122.057
122.128, 122.157
122.176, 122.209
122.229, 122.261
122.283, 122.316
122.335, 122.367
125.165, 125.204
125.229, 125.268
125.29, 125.329
125.361, 125.399
125.421, 125.46
125.485, 125.524
125.546, 125.585
125.605, 125.643
125.666, 125.706
125.737, 125.777
125.798, 125.837
125.86, 125.899
125.921, 125.959
125.98, 126.018
126.041, 126.079
126.1, 126.139
126.159, 126.198
126.22, 126.258
126.279, 126.329
126.352, 126.392
126.412, 126.447
126.467, 126.498
126.52, 126.551
126.57, 126.6
126.619, 126.65
126.681, 126.712
126.732, 126.763
126.782, 126.813
126.834, 126.865
126.886, 126.916
129.657, 129.699
129.729, 129.76
129.78, 129.813
129.834, 129.867
129.889, 129.921
129.942, 129.974
129.995, 130.027
130.062, 130.092
130.122, 130.153
130.172, 130.203
130.225, 130.257
130.277, 130.309
130.331, 130.362
130.382, 130.413
130.432, 130.472
130.492, 130.524
130.543, 130.575
130.594, 130.625
130.646, 130.677
130.697, 130.728
130.747, 130.778
130.799, 130.83
130.85, 130.881
130.909, 130.96
130.994, 131.046
131.067, 131.099
131.135, 131.16
131.187, 131.219
131.245, 131.278
131.312, 131.348
131.367, 131.399
131.418, 131.45
134.172, 134.213
134.235, 134.268
134.289, 134.321
134.348, 134.383
134.405, 134.429
134.477, 134.516
134.541, 134.579
134.601, 134.647
134.668, 134.707
134.731, 134.767
134.792, 134.83
134.852, 134.889
134.911, 134.949
134.969, 135.007
135.028, 135.065
135.086, 135.123
135.145, 135.182
135.206, 135.244
135.265, 135.302
135.322, 135.36
135.39, 135.428
135.448, 135.48
135.499, 135.529
135.552, 135.582
135.602, 135.634
135.661, 135.693
135.714, 135.745
135.765, 135.795
135.815, 135.846
135.867, 135.906
135.925, 135.956
138.735, 138.778
138.804, 138.836
138.858, 138.89
138.915, 138.947
138.967, 138.997
139.019, 139.051
139.078, 139.109
139.128, 139.169
139.19, 139.223
139.242, 139.283
139.32, 139.353
139.375, 139.406
139.426, 139.466
139.485, 139.516
139.538, 139.569
139.589, 139.621
139.641, 139.673
139.695, 139.727
139.746, 139.778
139.8, 139.836
139.865, 139.896
139.919, 139.949
139.983, 140.033
140.056, 140.088
140.118, 140.158
140.182, 140.22
140.254, 140.278
140.313, 140.343
140.364, 140.396
140.416, 140.448
143.257, 143.308
143.335, 143.375
143.398, 143.437
143.46, 143.483
143.533, 143.566
143.586, 143.618
143.655, 143.678
143.7, 143.731
143.759, 143.79
143.811, 143.844
143.872, 143.903
143.926, 143.957
143.978, 144.009
144.029, 144.06
144.082, 144.113
144.133, 144.164
144.184, 144.224
144.245, 144.276
144.295, 144.326
144.346, 144.377
144.399, 144.43
144.452, 144.511
144.531, 144.563
144.585, 144.615
144.635, 144.667
144.689, 144.728
144.748, 144.779
144.799, 144.83
144.852, 144.889
144.908, 144.94
147.693, 147.727
147.758, 147.782
147.814, 147.836
147.87, 147.889
147.927, 147.959
147.98, 148.015
148.036, 148.07
148.093, 148.126
148.146, 148.179
148.2, 148.231
148.254, 148.29
148.311, 148.362
148.389, 148.425
148.451, 148.499
148.521, 148.556
148.578, 148.614
148.638, 148.672
148.693, 148.73
148.753, 148.791
148.812, 148.85
148.872, 148.913
148.941, 148.984
149.006, 149.047
149.073, 149.128
149.154, 149.196
149.219, 149.26
149.283, 149.325
149.35, 149.386
149.409, 149.443
149.464, 149.499
149.521, 149.555
149.577, 149.611
152.45, 152.485
152.548, 152.592
152.615, 152.657
152.681, 152.723
152.75, 152.794
152.822, 152.845
152.879, 152.921
152.942, 152.978
153.002, 153.042
153.067, 153.105
153.127, 153.167
153.193, 153.231
153.261, 153.301
153.326, 153.364
153.39, 153.429
153.462, 153.499
153.526, 153.558
153.585, 153.618
153.648, 153.697
153.723, 153.758
153.784, 153.852
153.88, 153.916
153.94, 153.972
153.999, 154.031
154.067, 154.104
154.132, 154.191
154.256, 154.289
154.321, 154.355
154.403, 154.435
154.472, 154.501
154.536, 154.574
157.405, 157.455
157.483, 157.503
157.547, 157.578
157.613, 157.639
157.682, 157.721
157.745, 157.8
157.826, 157.864
157.887, 157.929
157.954, 157.993
158.019, 158.056
158.08, 158.117
158.144, 158.183
158.207, 158.249
158.272, 158.312
158.338, 158.378
158.401, 158.436
158.478, 158.496
158.564, 158.602
158.623, 158.659
158.682, 158.721
158.747, 158.789
158.812, 158.852
158.876, 158.915
158.955, 158.994
159.019, 159.055
159.078, 159.114
159.141, 159.183
159.209, 159.251
159.29, 159.327
159.351, 159.388
162.188, 162.219
162.285, 162.307
162.335, 162.359
162.399, 162.441
162.464, 162.516
162.541, 162.581
162.603, 162.638
162.681, 162.723
162.744, 162.779
162.8, 162.835
162.857, 162.889
162.91, 162.948
162.976, 162.999
163.034, 163.074
163.096, 163.135
163.158, 163.197
163.223, 163.264
163.287, 163.324
163.348, 163.384
163.405, 163.438
163.459, 163.496
163.519, 163.558
163.581, 163.623
163.646, 163.688
163.712, 163.749
163.771, 163.805
163.827, 163.861
163.891, 163.925
163.948, 163.983
164.006, 164.041
164.069, 164.112
164.136, 164.174
166.973, 167.022
167.055, 167.078
167.119, 167.142
167.178, 167.201
167.245, 167.284
167.306, 167.345
167.371, 167.424
167.452, 167.494
167.521, 167.561
167.589, 167.63
167.653, 167.691
167.714, 167.749
167.773, 167.808
167.829, 167.864
167.886, 167.921
167.945, 167.979
168.002, 168.036
168.058, 168.099
168.126, 168.165
168.188, 168.23
168.259, 168.31
168.337, 168.377
168.399, 168.438
168.476, 168.519
168.541, 168.572
168.6, 168.636
168.66, 168.697
168.72, 168.76
168.783, 168.822
168.846, 168.888
168.914, 168.953
171.801, 171.85
171.875, 171.914
171.938, 171.981
172.011, 172.051
172.075, 172.114
172.137, 172.187
172.211, 172.25
172.274, 172.308
172.353, 172.392
172.416, 172.457
172.489, 172.528
172.55, 172.585
172.61, 172.646
172.668, 172.709
172.735, 172.778
172.802, 172.843
172.866, 172.904
172.928, 172.963
172.984, 173.018
173.038, 173.07
173.096, 173.131
173.153, 173.187
173.208, 173.239
173.265, 173.299
173.321, 173.353
173.376, 173.414
173.438, 173.469
173.495, 173.536
173.561, 173.6
173.622, 173.659
176.498, 176.533
176.575, 176.62
176.654, 176.696
176.736, 176.777
176.81, 176.853
176.887, 176.928
176.964, 177.005
177.034, 177.069
177.098, 177.133
177.166, 177.203
177.23, 177.268
177.294, 177.332
177.36, 177.402
177.428, 177.466
177.489, 177.536
177.562, 177.605
177.627, 177.669
177.692, 177.734
177.76, 177.802
177.825, 177.862
177.886, 177.921
177.942, 177.977
177.999, 178.033
178.057, 178.092
178.112, 178.146
178.167, 178.201
178.224, 178.258
178.279, 178.315
178.335, 178.372
178.397, 178.437
181.289, 181.334
181.364, 181.403
181.431, 181.471
181.496, 181.537
181.563, 181.604
181.632, 181.686
181.71, 181.752
181.775, 181.816
181.842, 181.883
181.906, 181.947
181.971, 182.012
182.035, 182.076
182.099, 182.14
182.166, 182.206
182.228, 182.285
182.307, 182.348
182.374, 182.415
182.437, 182.478
182.5, 182.536
182.561, 182.592
182.617, 182.647
182.671, 182.702
182.75, 182.768
182.852, 182.879
182.905, 182.935
182.959, 182.99
183.015, 183.044
183.072, 183.102
183.127, 183.158
183.189, 183.221
183.248, 183.279
183.311, 183.381
186.138, 186.191
186.223, 186.263
186.29, 186.329
186.352, 186.393
186.42, 186.458
186.482, 186.524
186.559, 186.6
186.624, 186.664
186.687, 186.726
186.749, 186.789
186.813, 186.853
186.876, 186.914
186.935, 186.975
186.998, 187.038
187.06, 187.098
187.125, 187.163
187.185, 187.224
187.247, 187.284
187.309, 187.347
187.37, 187.409
187.43, 187.469
187.493, 187.543
187.564, 187.597
187.628, 187.66
187.685, 187.716
187.738, 187.77
187.795, 187.826
187.853, 187.884
187.904, 187.935
187.957, 187.988
188.009, 188.039
191.265, 191.308
191.336, 191.372
191.395, 191.429
191.461, 191.495
191.518, 191.56
191.585, 191.626
191.653, 191.692
191.715, 191.756
191.789, 191.829
191.853, 191.893
191.915, 191.955
191.978, 192.017
192.04, 192.08
192.102, 192.142
192.166, 192.204
192.23, 192.268
192.29, 192.33
192.353, 192.391
192.417, 192.455
192.496, 192.534
192.559, 192.589
192.611, 192.641
192.662, 192.692
192.715, 192.745
192.767, 192.798
192.819, 192.849
192.873, 192.91
192.931, 192.954
192.982, 193.022
193.052, 193.083
196.298, 196.344
196.372, 196.405
196.439, 196.487
196.511, 196.545
196.571, 196.612
196.634, 196.675
196.696, 196.737
196.76, 196.8
196.823, 196.863
196.886, 196.927
196.948, 196.989
197.01, 197.051
197.074, 197.115
197.138, 197.177
197.2, 197.24
197.265, 197.306
197.328, 197.367
197.39, 197.431
197.464, 197.505
197.527, 197.568
197.589, 197.622
197.644, 197.676
197.695, 197.727
197.747, 197.778
197.8, 197.831
197.851, 197.882
197.905, 197.938
197.964, 197.996
198.016, 198.047
198.069, 198.1
200.868, 200.913
200.954, 200.992
201.022, 201.059
201.08, 201.115
201.137, 201.174
201.198, 201.234
201.256, 201.297
201.323, 201.341
201.382, 201.421
201.442, 201.479
201.5, 201.539
201.563, 201.603
201.625, 201.667
201.69, 201.731
201.755, 201.795
201.817, 201.857
201.881, 201.919
201.955, 201.995
202.025, 202.067
202.098, 202.136
202.162, 202.197
202.222, 202.258
202.286, 202.32
202.343, 202.375
202.395, 202.426
202.448, 202.481
202.501, 202.534
202.553, 202.586
202.607, 202.643
202.663, 202.698
202.718, 202.754
202.777, 202.809
205.657, 205.707
205.732, 205.769
205.794, 205.843
205.865, 205.899
205.92, 205.954
205.976, 206.009
206.029, 206.086
206.116, 206.149
206.177, 206.2
206.244, 206.267
206.305, 206.344
206.382, 206.425
206.449, 206.489
206.517, 206.567
206.59, 206.63
206.652, 206.688
206.709, 206.742
206.763, 206.798
206.818, 206.853
206.876, 206.911
206.931, 206.965
206.997, 207.038
207.151, 207.194
207.216, 207.273
207.297, 207.333
207.355, 207.396
207.418, 207.456
207.478, 207.513
207.534, 207.569
207.592, 207.63
207.661, 207.702
210.79, 210.839
210.872, 210.912
210.935, 210.97
210.996, 211.031
211.057, 211.091
211.114, 211.149
211.171, 211.204
211.229, 211.265
211.288, 211.323
211.344, 211.379
211.403, 211.442
211.463, 211.502
211.526, 211.567
211.59, 211.627
211.649, 211.683
211.707, 211.742
211.764, 211.799
211.819, 211.854
211.877, 211.911
211.932, 211.969
211.99, 212.027
212.052, 212.092
212.115, 212.152
212.174, 212.242
212.267, 212.31
212.332, 212.379
212.405, 212.443
212.535, 212.568
212.606, 212.64
212.69, 212.732
215.651, 215.703
215.735, 215.774
215.8, 215.843
215.867, 215.911
215.937, 215.98
216.002, 216.041
216.063, 216.098
216.121, 216.159
216.182, 216.225
216.247, 216.301
216.328, 216.37
216.393, 216.432
216.457, 216.513
216.54, 216.581
216.604, 216.646
216.669, 216.705
216.732, 216.768
216.79, 216.825
216.849, 216.885
216.907, 216.946
