Begin Mid, Begin Up, Begin Down, End Mid, End Up, End Down
28.2013, 28.2013, 28.2013, 28.3512, 28.3512, 28.355
28.3766, 28.3766, 28.3766, 28.4742, 28.4742, 28.5282
28.5539, 28.5539, 28.5554, 28.7011, 28.6997, 28.7097
28.7331, 28.7331, 28.7331, 28.8563, 28.8288, 28.8858
28.9187, 28.9187, 28.9244, 29.078, 29.0656, 29.0817
29.1088, 29.1088, 29.1102, 29.2479, 29.2784, 29.2235
29.3013, 29.3022, 29.3041, 29.444, 29.5246, 29.3997
29.5718, 29.5732, 29.5746, 29.7215, 29.7181, 29.804
29.8394, 29.8422, 29.8422, 29.9796, 30.0768, 30.0477
30.1036, 30.1068, 30.1087, 30.2639, 30.4101, 30.343
30.4404, 30.4404, 30.4419, 30.5807, 30.6051, 30.6897
30.7217, 30.7217, 30.7217, 30.8644, 30.8834, 30.9634
30.9899, 30.9899, 30.9913, 31.1507, 31.1305, 31.2341
31.2656, 31.267, 31.267, 31.404, 31.4515, 31.51
31.5309, 31.5328, 31.5328, 31.6801, 31.765, 31.7392
31.7868, 31.7883, 31.7883, 31.9371, 32.0142, 32.0199
32.0455, 32.0455, 32.0469, 32.2058, 32.212, 32.2618
32.285, 32.285, 32.286, 32.4338, 32.4409, 32.5305
32.5521, 32.5521, 32.5535, 32.7196, 32.7163, 32.7773
32.8057, 32.8057, 32.8071, 32.9451, 32.965, 33.0536
33.0751, 33.0765, 33.0784, 33.2174, 33.2894, 33.2647
33.3117, 33.3117, 33.3117, 33.4551, 33.457, 33.5481
33.5727, 33.5741, 33.5741, 33.7166, 33.7791, 33.7913
33.8199, 33.8213, 33.8213, 33.9678, 34.0264, 34.0622
34.086, 34.086, 34.0869, 34.2526, 34.2526, 34.3025
34.3307, 34.3307, 34.3316, 34.4759, 34.4787, 34.5432
34.5679, 34.5679, 34.6146, 34.7717, 34.7553, 34.8613
34.8889, 34.8889, 34.8904, 35.0772, 35.0752, 35.1396
35.1634, 35.1634, 35.1663, 35.3658, 35.3529, 35.4599
35.4829, 35.4842, 35.4856, 35.6259, 35.6269, 35.7438
35.7747, 35.7747, 35.7771, 35.9645, 36.0021, 36.0331
36.056, 36.056, 36.0585, 36.2452, 36.2737, 36.3217
36.3418, 36.3432, 36.3447, 36.526, 36.5551, 36.6705
36.6944, 36.6958, 36.6967, 36.8806, 36.9072, 36.9426
36.9634, 36.9649, 36.9658, 37.1536, 37.1569, 37.1889
37.384, 37.384, 37.3855, 37.5811, 37.5811, 37.6156
37.6431, 37.6431, 37.6431, 37.8455, 37.8455, 37.8455
37.8688, 37.8688, 37.8703, 38.0744, 38.0626, 38.1063
38.1291, 38.1301, 38.132, 38.3331, 38.4339, 38.4396
38.4649, 38.4687, 38.4687, 38.6544, 38.7593, 38.6778
38.7822, 38.7832, 38.7846, 39.0117, 39.0294, 38.997
39.0518, 39.0518, 39.0533, 39.2567, 39.2934, 39.2515
39.3188, 39.3188, 39.3202, 39.5182, 39.5182, 39.5182
39.5406, 39.5406, 39.5421, 39.7381, 39.7381, 39.7381
39.764, 39.764, 39.764, 39.9634, 39.9634, 39.9634
39.9882, 39.9868, 39.9925, 40.1856, 40.1856, 40.1856
40.2079, 40.2079, 40.2079, 40.4073, 40.4073, 40.4073
40.4331, 40.4331, 40.4345, 40.6292, 40.6695, 40.6292
40.6912, 40.6912, 40.6912, 40.9334, 40.9838, 40.8854
41.0052, 41.0052, 41.0052, 41.244, 41.2421, 41.2051
41.2678, 41.2678, 41.2692, 41.468, 41.5075, 41.468
41.5298, 41.5298, 41.5298, 41.7214, 41.767, 41.73
41.7883, 41.7883, 41.7883, 41.9886, 41.9886, 41.9886
42.0138, 42.0138, 42.0138, 42.2748, 42.2782, 42.2291
42.3015, 42.3015, 42.3015, 42.5831, 42.6, 42.5448
42.6211, 42.6211, 42.6211, 42.8117, 42.914, 42.8736
42.9493, 42.9507, 42.9507, 43.2393, 43.3338, 43.3251
43.3566, 43.3599, 43.3599, 43.5893, 43.7534, 43.5487
43.7792, 43.7792, 43.7806, 43.9743, 44.015, 44.0926
44.1142, 44.1142, 44.1156, 44.3065, 44.3498, 44.4308
44.4536, 44.4536, 44.455, 44.6882, 44.6882, 44.7756
44.8005, 44.8019, 44.8052, 45.0534, 45.2114, 45.184
45.2356, 45.2371, 45.2409, 45.5852, 45.607, 45.5527
45.6309, 45.6309, 45.6342, 45.8705, 45.9824, 46.0043
46.0313, 46.0327, 46.0341, 46.2898, 46.328, 46.2937
46.351, 46.3524, 46.3538, 46.5883, 46.5902, 46.5525
46.6122, 46.6122, 46.6136, 46.8154, 46.8525, 46.8154
46.8807, 46.8807, 46.8821, 47.1237, 47.1237, 47.0749
47.1464, 47.1464, 47.1464, 47.3445, 47.3445, 47.3445
47.3678, 47.3669, 47.3726, 47.5649, 47.5649, 47.5697
47.5942, 47.5942, 47.5942, 47.8369, 47.8369, 47.7937
47.8593, 47.8593, 47.8603, 48.064, 48.0561, 48.0537
48.088, 48.088, 48.0894, 48.3009, 48.2907, 48.2831
48.3227, 48.3227, 48.3227, 48.5183, 48.5198, 48.5183
48.5417, 48.5417, 48.5417, 48.7428, 48.7428, 48.7428
48.7686, 48.7686, 48.7686, 48.9585, 48.9637, 48.9714
48.9928, 48.9928, 48.9928, 49.1952, 49.1952, 49.1952
49.2171, 49.2171, 49.2171, 49.4519, 49.4547, 49.4144
49.479, 49.479, 49.48, 49.6814, 49.678, 49.6795
49.703, 49.703, 49.703, 49.8962, 49.8962, 49.8499
49.9176, 49.9186, 49.9186, 50.1114, 50.1147, 50.1147
50.1386, 50.1386, 50.1386, 50.3462, 50.3376, 50.3462
50.3691, 50.3691, 50.3705, 50.5652, 50.5633, 50.569
50.5905, 50.5905, 50.5905, 50.7864, 50.7954, 50.783
50.8197, 50.8197, 50.8197, 51.0655, 51.0622, 51.0165
51.0869, 51.0869, 51.0869, 51.2824, 51.2824, 51.2824
51.3044, 51.3044, 51.3054, 51.503, 51.5064, 51.503
51.5309, 51.5309, 51.5309, 51.7329, 51.7344, 51.7329
51.7558, 51.7558, 51.7558, 51.9979, 51.9464, 51.996
52.0233, 52.0233, 52.0251, 52.2179, 52.2589, 52.3161
52.3389, 52.3389, 52.3422, 52.5286, 52.5732, 52.6292
52.6516, 52.6516, 52.6545, 52.8453, 52.8453, 52.94
52.9648, 52.9648, 52.9676, 53.172, 53.1772, 53.2544
53.2802, 53.2802, 53.2816, 53.4739, 53.4739, 53.5631
53.5866, 53.5866, 53.5866, 53.7793, 53.776, 53.7954
53.8216, 53.8216, 53.8216, 54.0143, 54.0176, 54.0382
54.06, 54.06, 54.063, 54.26, 54.3453, 54.2562
54.3672, 54.3672, 54.3686, 54.5719, 54.551, 54.5881
54.614, 54.614, 54.6182, 54.8025, 54.8039, 54.7947
54.8258, 54.8258, 54.8272, 55.026, 55.0145, 55.0575
55.0784, 55.0851, 55.0866, 55.265, 55.2918, 55.3801
55.4058, 55.4058, 55.4072, 55.5961, 55.5937, 55.6857
55.7081, 55.7081, 55.7095, 55.909, 55.9024, 55.9884
56.0126, 56.0126, 56.0155, 56.2042, 56.2061, 56.2908
56.3141, 56.3141, 56.3154, 56.5019, 56.5019, 56.5726
56.595, 56.595, 56.5964, 56.7985, 56.7985, 56.7985
56.8251, 56.8251, 56.826, 57.0662, 57.0653, 57.0233
57.0895, 57.0895, 57.0895, 57.4234, 57.4269, 57.3389
57.4491, 57.4491, 57.4506, 57.7368, 57.7349, 57.6907
