Voltage 2,Current
0.0,0.0
0.0,0.0
0.002777761111210555,-1.6666567221809703e-08
0.005555522451137928,-3.3104417626984614e-08
0.008333283943583274,-4.938975005800428e-08
0.011111045588572316,-6.552253878971819e-08
0.013888807386130804,-8.15027580814698e-08
0.016666569336284454,-9.733038220887584e-08
0.019444331439059034,-1.1300538540746487e-07
0.022222093694480274,-1.2852774194555112e-07
0.024999856102573888,-1.4389742610690042e-07
0.02777761866336561,-1.5911441215778714e-07
0.03055538137688129,-1.7417867426373638e-07
0.033333144243146554,-1.890901867809693e-07
0.03611090726218713,-2.0384892398580093e-07
0.03888867043402884,-2.184548600468927e-07
0.041666433758697434,-2.3290796924036426e-07
0.04444419723621856,-2.472082258908253e-07
0.04722196086661792,-2.61355604315874e-07
0.049999724649921425,-2.753500785901795e-07
0.052777488586154817,-2.8919162296875716e-07
0.055555252675343815,-3.0288021175514374e-07
0.058333016917513913,-3.164158194332409e-07
0.061110781312691154,-3.297984199803735e-07
0.06388854586090115,-3.4302798776933353e-07
0.06666631056216958,-3.5610449709656496e-07
0.0694440754165224,-3.6902792207806906e-07
0.07222184042398531,-3.817982369200261e-07
0.07499960558458382,-3.9441541620330003e-07
0.0777773708983439,-4.068794338981218e-07
0.08055513636529127,-4.191902643216446e-07
0.08333290198545155,-4.3134788181877365e-07
0.08611066775885053,-4.4335226062338533e-07
0.08888843368551406,-4.5520337487220614e-07
0.09166619976546786,-4.669011988546145e-07
0.0944439659987376,-4.784457068877498e-07
0.09722173238534915,-4.898368731083395e-07
0.09999949892532803,-5.010746719861832e-07
0.10277726561870015,-5.121590776857806e-07
0.10555503246549118,-5.230900644271425e-07
0.10833279946572685,-5.338676065274405e-07
0.11111056661943303,-5.444916781511975e-07
0.11388833392663553,-5.549622534351945e-07
0.1166661013873596,-5.652793071407236e-07
0.11944386900163166,-5.754428128633696e-07
0.12222163676947707,-5.854527452117889e-07
0.12499940469092144,-5.953090786281395e-07
0.12777717276599104,-6.050117868329518e-07
0.13055494099471127,-6.145608443933014e-07
0.13333270937710767,-6.239562257236448e-07
0.13611047791320632,-6.331979048498769e-07
0.1388882466030328,-6.422858561587273e-07
0.14166601544661309,-6.512200536483746e-07
0.14444378444397282,-6.600004716778347e-07
0.14722155359513753,-6.686270847726832e-07
0.149999322900133,-6.770998670699416e-07
0.15277709235898515,-6.854187927344052e-07
0.15555486197171967,-6.935838360141565e-07
